County,Year,Crime,Arrests,Age Group,Which,Year group,Rate
Crowley,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Crowley,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Crowley,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Crowley,1992,Larceny/Theft,0,Adult,Property,1992-1994,0
Crowley,1992,Larceny/Theft,0,Juvenile,Property,1992-1994,0
Crowley,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Crowley,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Crowley,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Crowley,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Crowley,1992,Robbery,0,Adult,Violent,1992-1994,0
Crowley,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Custer,1992,Aggravated Assault,3,Adult,Violent,1992-1994,18.94
Custer,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Custer,1992,Arson,0,Adult,Property,1992-1994,0
Custer,1992,Arson,0,Juvenile,Property,1992-1994,0
Custer,1992,Burglary,2,Adult,Property,1992-1994,12.63
Custer,1992,Burglary,5,Juvenile,Property,1992-1994,180.51
Custer,1992,Drug Violations,3,Adult,Drug,1992-1994,18.94
Custer,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Custer,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Custer,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Custer,1992,Larceny/Theft,0,Adult,Property,1992-1994,0
Custer,1992,Larceny/Theft,0,Juvenile,Property,1992-1994,0
Custer,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Custer,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Custer,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Custer,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Custer,1992,Robbery,0,Adult,Violent,1992-1994,0
Custer,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Delta,1992,Aggravated Assault,5,Adult,Violent,1992-1994,3.02
Delta,1992,Aggravated Assault,0,Juvenile,Violent,1992-1994,0
Delta,1992,Arson,0,Adult,Property,1992-1994,0
Delta,1992,Arson,0,Juvenile,Property,1992-1994,0
Delta,1992,Burglary,13,Adult,Property,1992-1994,7.86
Delta,1992,Burglary,11,Juvenile,Property,1992-1994,43.67
Delta,1992,Drug Violations,3,Adult,Drug,1992-1994,1.81
Delta,1992,Drug Violations,2,Juvenile,Drug,1992-1994,7.94
Delta,1992,Forcible rape,1,Adult,Violent,1992-1994,0.6
Delta,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Delta,1992,Larceny/Theft,56,Adult,Property,1992-1994,33.88
Delta,1992,Larceny/Theft,61,Juvenile,Property,1992-1994,242.16
Delta,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Delta,1992,Motor Vehicle Theft,3,Juvenile,Property,1992-1994,11.91
Delta,1992,Murder/Manslaughter,1,Adult,Violent,1992-1994,0.6
Delta,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Delta,1992,Robbery,0,Adult,Violent,1992-1994,0
Delta,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Denver,1992,Aggravated Assault,955,Adult,Violent,1992-1994,25.1
Denver,1992,Aggravated Assault,41,Juvenile,Violent,1992-1994,10
Denver,1992,Arson,30,Adult,Property,1992-1994,0.79
Denver,1992,Arson,2,Juvenile,Property,1992-1994,0.49
Denver,1992,Burglary,465,Adult,Property,1992-1994,12.22
Denver,1992,Burglary,110,Juvenile,Property,1992-1994,26.83
Denver,1992,Drug Violations,3036,Adult,Drug,1992-1994,79.8
Denver,1992,Drug Violations,226,Juvenile,Drug,1992-1994,55.12
Denver,1992,Forcible rape,216,Adult,Violent,1992-1994,5.68
Denver,1992,Forcible rape,12,Juvenile,Violent,1992-1994,2.93
Denver,1992,Larceny/Theft,4377,Adult,Property,1992-1994,115.05
Denver,1992,Larceny/Theft,1230,Juvenile,Property,1992-1994,299.99
Denver,1992,Motor Vehicle Theft,525,Adult,Property,1992-1994,13.8
Denver,1992,Motor Vehicle Theft,221,Juvenile,Property,1992-1994,53.9
Denver,1992,Murder/Manslaughter,84,Adult,Violent,1992-1994,2.21
Denver,1992,Murder/Manslaughter,4,Juvenile,Violent,1992-1994,0.98
Denver,1992,Robbery,259,Adult,Violent,1992-1994,6.81
Denver,1992,Robbery,27,Juvenile,Violent,1992-1994,6.59
Dolores,1992,Aggravated Assault,3,Adult,Violent,1992-1994,29.04
Dolores,1992,Aggravated Assault,1,Juvenile,Violent,1992-1994,55.56
Dolores,1992,Arson,0,Adult,Property,1992-1994,0
Dolores,1992,Arson,0,Juvenile,Property,1992-1994,0
Dolores,1992,Burglary,0,Adult,Property,1992-1994,0
Dolores,1992,Burglary,1,Juvenile,Property,1992-1994,55.56
Dolores,1992,Drug Violations,3,Adult,Drug,1992-1994,29.04
Dolores,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Dolores,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Dolores,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Dolores,1992,Larceny/Theft,2,Adult,Property,1992-1994,19.36
Dolores,1992,Larceny/Theft,1,Juvenile,Property,1992-1994,55.56
Dolores,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Dolores,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Dolores,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Dolores,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Dolores,1992,Robbery,0,Adult,Violent,1992-1994,0
Dolores,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Douglas,1992,Aggravated Assault,37,Adult,Violent,1992-1994,7.13
Douglas,1992,Aggravated Assault,8,Juvenile,Violent,1992-1994,8.64
Douglas,1992,Arson,0,Adult,Property,1992-1994,0
Douglas,1992,Arson,13,Juvenile,Property,1992-1994,14.04
Douglas,1992,Burglary,25,Adult,Property,1992-1994,4.82
Douglas,1992,Burglary,20,Juvenile,Property,1992-1994,21.61
Douglas,1992,Drug Violations,93,Adult,Drug,1992-1994,17.92
Douglas,1992,Drug Violations,9,Juvenile,Drug,1992-1994,9.72
Douglas,1992,Forcible rape,1,Adult,Violent,1992-1994,0.19
Douglas,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Douglas,1992,Larceny/Theft,90,Adult,Property,1992-1994,17.35
Douglas,1992,Larceny/Theft,83,Juvenile,Property,1992-1994,89.67
Douglas,1992,Motor Vehicle Theft,5,Adult,Property,1992-1994,0.96
Douglas,1992,Motor Vehicle Theft,8,Juvenile,Property,1992-1994,8.64
Douglas,1992,Murder/Manslaughter,1,Adult,Violent,1992-1994,0.19
Douglas,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Douglas,1992,Robbery,4,Adult,Violent,1992-1994,0.77
Douglas,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Eagle,1992,Aggravated Assault,41,Adult,Violent,1992-1994,21.98
Eagle,1992,Aggravated Assault,4,Juvenile,Violent,1992-1994,17.78
Eagle,1992,Arson,0,Adult,Property,1992-1994,0
Eagle,1992,Arson,0,Juvenile,Property,1992-1994,0
Eagle,1992,Burglary,9,Adult,Property,1992-1994,4.82
Eagle,1992,Burglary,4,Juvenile,Property,1992-1994,17.78
Eagle,1992,Drug Violations,185,Adult,Drug,1992-1994,99.16
Eagle,1992,Drug Violations,16,Juvenile,Drug,1992-1994,71.11
Eagle,1992,Forcible rape,2,Adult,Violent,1992-1994,1.07
Eagle,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Eagle,1992,Larceny/Theft,168,Adult,Property,1992-1994,90.05
Eagle,1992,Larceny/Theft,50,Juvenile,Property,1992-1994,222.22
Eagle,1992,Motor Vehicle Theft,2,Adult,Property,1992-1994,1.07
Eagle,1992,Motor Vehicle Theft,4,Juvenile,Property,1992-1994,17.78
Eagle,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Eagle,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Eagle,1992,Robbery,2,Adult,Violent,1992-1994,1.07
Eagle,1992,Robbery,0,Juvenile,Violent,1992-1994,0
El Paso,1992,Aggravated Assault,414,Adult,Violent,1992-1994,13.53
El Paso,1992,Aggravated Assault,115,Juvenile,Violent,1992-1994,23.96
El Paso,1992,Arson,19,Adult,Property,1992-1994,0.62
El Paso,1992,Arson,35,Juvenile,Property,1992-1994,7.29
El Paso,1992,Burglary,271,Adult,Property,1992-1994,8.85
El Paso,1992,Burglary,373,Juvenile,Property,1992-1994,77.72
El Paso,1992,Drug Violations,819,Adult,Drug,1992-1994,26.76
El Paso,1992,Drug Violations,81,Juvenile,Drug,1992-1994,16.88
El Paso,1992,Forcible rape,35,Adult,Violent,1992-1994,1.14
El Paso,1992,Forcible rape,9,Juvenile,Violent,1992-1994,1.88
El Paso,1992,Larceny/Theft,2542,Adult,Property,1992-1994,83.05
El Paso,1992,Larceny/Theft,1746,Juvenile,Property,1992-1994,363.82
El Paso,1992,Motor Vehicle Theft,94,Adult,Property,1992-1994,3.07
El Paso,1992,Motor Vehicle Theft,127,Juvenile,Property,1992-1994,26.46
El Paso,1992,Murder/Manslaughter,20,Adult,Violent,1992-1994,0.65
El Paso,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
El Paso,1992,Robbery,114,Adult,Violent,1992-1994,3.72
El Paso,1992,Robbery,44,Juvenile,Violent,1992-1994,9.17
Elbert,1992,Aggravated Assault,4,Adult,Violent,1992-1994,5.36
Elbert,1992,Aggravated Assault,1,Juvenile,Violent,1992-1994,6.56
Elbert,1992,Arson,0,Adult,Property,1992-1994,0
Elbert,1992,Arson,0,Juvenile,Property,1992-1994,0
Elbert,1992,Burglary,1,Adult,Property,1992-1994,1.34
Elbert,1992,Burglary,1,Juvenile,Property,1992-1994,6.56
Elbert,1992,Drug Violations,2,Adult,Drug,1992-1994,2.68
Elbert,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Elbert,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Elbert,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
